run_id,direction,mechanism,lambda_multiplier,lambda,amplitude,raw_policy_norm_mean,selected_clipped_norm_mean,raw_to_selected_norm_ratio_mean,cap_violation_fraction_before_projection,raw_energy_penalty,selected_clipped_energy_penalty,raw_task_loss_gain_over_zero,raw_objective_gain_over_zero,selected_objective_gain_over_zero,raw_finite_status,selected_finite_status
open_loop_small,zero_linear_no_bias,linear_no_bias,4.0,445586186.7519999,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,finite,finite
open_loop_small,zero_linear_no_bias,linear_no_bias,4.0,445586186.7519999,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,finite,finite
open_loop_small,zero_affine,affine,4.0,445586186.7519999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,finite,finite
open_loop_small,zero_affine,affine,4.0,445586186.7519999,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,finite,finite
open_loop_small,zero_affine,affine,4.0,445586186.7519999,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,finite,finite
open_loop_small,zero_affine,affine,4.0,445586186.7519999,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,finite,finite
open_loop_small,zero_affine,affine,4.0,445586186.7519999,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,finite,finite
open_loop_small,zero_affine,affine,4.0,445586186.7519999,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,finite,finite
open_loop_small,affine_mean_direct,affine,4.0,445586186.7519999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,finite,finite
open_loop_small,affine_mean_direct,affine,4.0,445586186.7519999,0.25,7.703148730797693e-05,7.703148730797693e-05,1.0,0.0,2.644041061401367,2.644041061401367,11.650278073886511,9.006237012485144,9.006237012485144,finite,finite
open_loop_small,affine_mean_direct,affine,4.0,445586186.7519999,0.5,0.00015406297461595386,0.00015406297461595386,1.0,0.0,10.576164245605469,10.576164245605469,26.23348507708397,15.6573208314785,15.6573208314785,finite,finite
open_loop_small,affine_mean_direct,affine,4.0,445586186.7519999,1.0,0.0003081259492319077,0.0003081259492319077,1.0,0.0,42.304656982421875,42.304656982421875,64.20168113221916,21.89702414979729,21.89702414979729,finite,finite
open_loop_small,affine_mean_direct,affine,4.0,445586186.7519999,2.0,0.0006162518984638155,0.0006162518984638155,1.0,0.0,169.2186279296875,169.2186279296875,175.35005147500488,6.131423545317375,6.131423545317375,finite,finite
open_loop_small,affine_mean_direct,affine,4.0,445586186.7519999,4.0,0.001232503796927631,0.001232503796927631,1.0,0.0,676.87451171875,676.87451171875,538.6043186586403,-138.2701930601097,-138.2701930601097,finite,finite
open_loop_small,linear_ridge_direct,linear_no_bias,4.0,445586186.7519999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,finite,finite
open_loop_small,linear_ridge_direct,linear_no_bias,4.0,445586186.7519999,0.25,0.000275701517239213,0.000275701517239213,1.0,0.0,34.0308952331543,34.0308952331543,137.91069091914778,103.87979568599349,103.87979568599349,finite,finite
open_loop_small,linear_ridge_direct,linear_no_bias,4.0,445586186.7519999,0.5,0.0005579941207543015,0.0005579941207543015,1.0,0.0,139.44715881347656,139.44715881347656,316.2483077426796,176.801148929203,176.801148929203,finite,finite
open_loop_small,linear_ridge_direct,linear_no_bias,4.0,445586186.7519999,1.0,0.0011502113193273544,0.0011502113193273544,1.0,0.0,593.0286254882812,593.0286254882812,808.5688765418736,215.54025105359233,215.54025105359233,finite,finite
open_loop_small,linear_ridge_direct,linear_no_bias,4.0,445586186.7519999,2.0,0.0025035981088876724,0.0025035981088876724,1.0,0.0,2816.06103515625,2816.06103515625,2457.093230044037,-358.9678051122128,-358.9678051122128,finite,finite
open_loop_small,linear_ridge_direct,linear_no_bias,4.0,445586186.7519999,4.0,0.006357626989483833,0.004545499570667744,1.3986639976501465,1.0,18278.703125,9206.5087890625,9766.459355951138,-8512.243769048862,-3852.8634022887773,finite,finite
open_loop_moderate,zero_linear_no_bias,linear_no_bias,2.0,205863107.29599997,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,finite,finite
open_loop_moderate,zero_linear_no_bias,linear_no_bias,2.0,205863107.29599997,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,finite,finite
open_loop_moderate,zero_linear_no_bias,linear_no_bias,2.0,205863107.29599997,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,finite,finite
open_loop_moderate,zero_linear_no_bias,linear_no_bias,2.0,205863107.29599997,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,finite,finite
open_loop_moderate,zero_linear_no_bias,linear_no_bias,2.0,205863107.29599997,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,finite,finite
open_loop_moderate,zero_linear_no_bias,linear_no_bias,2.0,205863107.29599997,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,finite,finite
open_loop_moderate,zero_affine,affine,2.0,205863107.29599997,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,finite,finite
open_loop_moderate,zero_affine,affine,2.0,205863107.29599997,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,finite,finite
open_loop_moderate,zero_affine,affine,2.0,205863107.29599997,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,finite,finite
open_loop_moderate,zero_affine,affine,2.0,205863107.29599997,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,finite,finite
open_loop_moderate,zero_affine,affine,2.0,205863107.29599997,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,finite,finite
