run_id,beta,beta_role,lambda,lambda_star_summary,lambda_star_summary_value,finite_status,selected_nonzero,classification,penalized_gain_over_zero,task_loss_gain,energy_mean,energy_max,energy_penalty,penalty_minus_task_gain,penalty_over_task_gain_abs,selected_epsilon_norm_mean,selected_epsilon_norm_max,old_cap_ratio_mean_sidecar,old_cap_ratio_max_sidecar,old_cap_boundary_fraction_sidecar,old_cap_used_as_criterion
open_loop_small,0.95,diagnostic_only,230964605.99161327,lambda_star_p90,255916460.9325355,finite,True,nonzero_positive_penalized_and_task_gain,1977.3814730475633,6749.4727499847795,2.066156957880594e-05,2.066156957880594e-05,4772.091276937216,-1977.3814730475633,0.7070317125064292,0.004545500036329031,0.004545500036329031,1.0,1.0,1.0,False
open_loop_small,1.05,candidate_training_scale,282147898.1781204,lambda_star_p90,255916460.9325355,finite,True,nonzero_positive_penalized_and_task_gain,842.4670451914453,6672.084520465305,2.0661567759816535e-05,2.066156957880594e-05,5829.61791649705,-842.4666039682552,0.8737326241320602,0.004545499570667744,0.004545500036329031,0.9999999403953552,1.0,1.0,False
open_loop_small,1.2,candidate_training_scale,368519703.7428511,lambda_star_p90,255916460.9325355,finite,True,nonzero_positive_penalized_and_task_gain,208.81611331945805,684.7032508589191,1.2913478713016957e-06,1.2913482123622089e-06,475.88713496106226,-208.81611589785683,0.6950268373402498,0.001136374892666936,0.0011363750090822577,0.2499999701976776,0.25,0.0,False
open_loop_small,1.4,candidate_training_scale,501596263.42776954,lambda_star_p90,255916460.9325355,finite,True,nonzero_positive_penalized_and_task_gain,36.9679812501854,684.7032508589191,1.2913478713016957e-06,1.2913482123622089e-06,647.7352670303349,-36.96798382858424,0.9460087508242292,0.001136374892666936,0.0011363750090822577,0.2499999701976776,0.25,0.0,False
open_loop_small,1.8,candidate_training_scale,829169333.4214151,lambda_star_p90,255916460.9325355,finite,False,zero_selected_no_positive_penalized_gain,3.113458660664037e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
open_loop_moderate,0.95,diagnostic_only,208394125.88048783,lambda_star_p90,230907618.70414165,finite,True,nonzero_positive_penalized_and_task_gain,2618.5838089269746,6924.333540621117,2.066156957880594e-05,2.0661571397795342e-05,4305.749731694143,-2618.5838089269746,0.6218287588884567,0.004545500036329031,0.004545500036329031,1.0,1.0,1.0,False
open_loop_moderate,1.05,candidate_training_scale,254575649.62131616,lambda_star_p90,230907618.70414165,finite,True,nonzero_positive_penalized_and_task_gain,1662.2937687279727,6922.219284663583,2.066156594082713e-05,2.066156957880594e-05,5259.9315715797275,-1662.2877130838551,0.7598620262194364,0.004545499570667744,0.004545500036329031,0.9999998807907104,1.0,1.0,False
open_loop_moderate,1.2,candidate_training_scale,332506970.93396395,lambda_star_p90,230907618.70414165,finite,True,nonzero_positive_penalized_and_task_gain,530.8305047200665,2033.2452495245761,4.518446075962856e-06,4.9692325774230994e-06,1502.414818046865,-530.830431477711,0.7389245436074018,0.0021230108104646206,0.002229177625849843,0.4670576751232147,0.49041417241096497,0.0,False
open_loop_moderate,1.4,candidate_training_scale,452578932.66011757,lambda_star_p90,230907618.70414165,finite,True,nonzero_positive_penalized_and_task_gain,246.2691229827651,830.7060840161284,1.2913483260490466e-06,1.2913484397358843e-06,584.437047095707,-246.2690369204214,0.7035425144236214,0.0011363751254975796,0.0011363751254975796,0.25,0.2500000298023224,0.0,False
open_loop_moderate,1.8,candidate_training_scale,748140684.601419,lambda_star_p90,230907618.70414165,finite,False,zero_selected_no_positive_penalized_gain,-0.00012884970237792004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
open_loop_stress,0.95,diagnostic_only,191816221.33736497,lambda_star_p90,212538749.40428254,finite,True,nonzero_positive_penalized_and_task_gain,2309.0356998907882,6272.259205573047,2.066156594082713e-05,2.066156957880594e-05,3963.2235056822587,-2309.0356998907887,0.6318653894534274,0.004545499570667744,0.004545500036329031,0.9999998807907104,1.0,1.0,False
open_loop_stress,1.05,candidate_training_scale,234323971.21822152,lambda_star_p90,212538749.40428254,finite,True,nonzero_positive_penalized_and_task_gain,1425.144556572377,6266.644196721303,2.0661562302848324e-05,2.066156957880594e-05,4841.499330376121,-1425.144866345182,0.7725824505736555,0.004545499105006456,0.004545500036329031,0.9999997615814209,1.0,1.0,False
open_loop_stress,1.2,candidate_training_scale,306055799.14216685,lambda_star_p90,212538749.40428254,finite,True,nonzero_positive_penalized_and_task_gain,452.879603356233,1744.7939945856087,4.221172275720164e-06,4.789712875208352e-06,1291.914254162294,-452.87974042331484,0.7404394204538316,0.0020498635713011026,0.002188541227951646,0.4509654641151428,0.48147425055503845,0.0,False
open_loop_stress,1.4,candidate_training_scale,416575948.8323937,lambda_star_p90,212538749.40428254,finite,True,nonzero_positive_penalized_and_task_gain,209.61189793473477,747.5564464177933,1.291348553422722e-06,1.2913486671095598e-06,537.9447489154095,-209.61169750238378,0.7196041870726692,0.0011363751254975796,0.0011363752419129014,0.2500000596046448,0.2500000596046448,0.0,False
open_loop_stress,1.8,candidate_training_scale,688625548.0698755,lambda_star_p90,212538749.40428254,finite,False,zero_selected_no_positive_penalized_gain,-7.663478754693642e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
