run_id,mechanism,stage,lambda_multiplier,reference_lambda_multiplier,reference_bracket_low_multiplier,reference_bracket_high_multiplier,adam_steps,adam_learning_rate,initialization,objective_gain_over_zero,task_loss_gain_over_zero,energy_penalty,energy_mean,max_norm_over_cap,mean_norm_over_cap,cap_bound_fraction,finite_status,gradient_status,gradient_norm,useful,interior,valid,failure_mode,optimizer_success,optimizer_status,match_reference_region
open_loop_small,direct_epsilon,stage1_grid,2.8284271247461903,2.8284271247461903,2.5936791093020193,2.8284271247461903,12,1e-05,zero,353.98664777314025,718.2274314645465,364.24078369140625,1.1560372286112397e-06,0.24586345255374908,0.23616831004619598,0.0,finite,finite,118070.9140625,True,True,True,valid,True,adam_all_finite,True
open_loop_small,direct_epsilon,stage1_grid,2.8284271247461903,2.8284271247461903,2.5936791093020193,2.8284271247461903,12,3e-05,zero,675.1354242360721,2957.496264079822,2282.36083984375,7.243818799906876e-06,0.6528831124305725,0.5892700552940369,0.0,finite,finite,72016.8203125,True,True,True,valid,True,adam_all_finite,True
open_loop_small,direct_epsilon,stage1_grid,2.8284271247461903,2.8284271247461903,2.5936791093020193,2.8284271247461903,12,0.0001,zero,710.7552091280804,6676.69905678433,5965.94384765625,1.8934873878606595e-05,1.0868529081344604,0.953150749206543,0.375,finite,finite,132802.46875,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,direct_epsilon,stage1_grid,2.8284271247461903,2.8284271247461903,2.5936791093020193,2.8284271247461903,12,0.0003,zero,499.27540675091313,6398.963883313413,5899.6884765625,1.872459142759908e-05,1.4698203802108765,0.9126914143562317,0.375,finite,finite,383560.03125,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,direct_epsilon,stage1_grid,2.8284271247461903,2.8284271247461903,2.5936791093020193,2.8284271247461903,32,1e-05,zero,660.7077434850025,2481.7184856725025,1821.0107421875,5.779573257314041e-06,0.5874794721603394,0.5264275074005127,0.0,finite,finite,65165.44140625,True,True,True,valid,True,adam_all_finite,True
open_loop_small,direct_epsilon,stage1_grid,2.8284271247461903,2.8284271247461903,2.5936791093020193,2.8284271247461903,32,3e-05,zero,775.2252187936692,5691.310179731169,4916.0849609375,1.5602803614456207e-05,1.0736910104751587,0.856998860836029,0.125,finite,finite,23077.33984375,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,direct_epsilon,stage1_grid,2.8284271247461903,2.8284271247461903,2.5936791093020193,2.8284271247461903,32,0.0001,zero,773.390937741452,4642.794258053952,3869.4033203125,1.2280816918064374e-05,0.9071434140205383,0.7666497230529785,0.0,finite,finite,41350.328125,True,True,True,valid,True,adam_all_finite,True
open_loop_small,direct_epsilon,stage1_grid,2.8284271247461903,2.8284271247461903,2.5936791093020193,2.8284271247461903,32,0.0003,zero,724.6912688863185,4199.2310638081935,3474.539794921875,1.1027588698198088e-05,1.0538203716278076,0.7155064344406128,0.125,finite,finite,111607.5078125,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,direct_epsilon,stage1_grid,2.8284271247461903,2.8284271247461903,2.5936791093020193,2.8284271247461903,64,1e-05,zero,774.8632563191231,4246.085180147248,3471.221923828125,1.101705856854096e-05,0.8326465487480164,0.7258579730987549,0.0,finite,finite,20051.16015625,True,True,True,valid,True,adam_all_finite,True
open_loop_small,direct_epsilon,stage1_grid,2.8284271247461903,2.8284271247461903,2.5936791093020193,2.8284271247461903,64,3e-05,zero,787.3607428504865,4831.6197760536115,4044.259033203125,1.2835778761655092e-05,1.0540945529937744,0.7754175662994385,0.125,finite,finite,4900.13671875,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,direct_epsilon,stage1_grid,2.8284271247461903,2.8284271247461903,2.5936791093020193,2.8284271247461903,64,0.0001,zero,787.1006793295137,4876.222505501389,4089.121826171875,1.2978165614185855e-05,1.0140491724014282,0.7784859538078308,0.125,finite,finite,10887.7529296875,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,direct_epsilon,stage1_grid,2.8284271247461903,2.8284271247461903,2.5936791093020193,2.8284271247461903,64,0.0003,zero,784.3768940708096,4905.36126907081,4120.984375,1.3079292330075987e-05,1.0689921379089355,0.7815752029418945,0.125,finite,finite,30521.146484375,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,direct_epsilon,stage1_grid,2.8284271247461903,2.8284271247461903,2.5936791093020193,2.8284271247461903,128,1e-05,zero,787.7937109975383,4870.154794981913,4082.361083984375,1.2956707905686926e-05,1.028936505317688,0.7786822319030762,0.125,finite,finite,1190.1580810546875,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,direct_epsilon,stage1_grid,2.8284271247461903,2.8284271247461903,2.5936791093020193,2.8284271247461903,128,3e-05,zero,787.8499036069197,4893.94121220067,4106.09130859375,1.3032024071435444e-05,1.0480339527130127,0.7803808450698853,0.125,finite,finite,170.79869079589844,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,direct_epsilon,stage1_grid,2.8284271247461903,2.8284271247461903,2.5936791093020193,2.8284271247461903,128,0.0001,zero,787.8461662910895,4888.8456780098395,4100.99951171875,1.3015864169574343e-05,1.047492504119873,0.7799578309059143,0.125,finite,finite,468.7528991699219,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,direct_epsilon,stage1_grid,2.8284271247461903,2.8284271247461903,2.5936791093020193,2.8284271247461903,128,0.0003,zero,787.8095028143862,4891.997491095636,4104.18798828125,1.3025983207626268e-05,1.0462987422943115,0.7802728414535522,0.125,finite,finite,2546.899169921875,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,linear_no_bias,stage1_grid,2.0,2.0,1.8340080864093424,2.0,12,1e-05,zero,585.0014872749325,1713.8416270919242,1128.840087890625,5.066764515504474e-06,0.5576916933059692,0.4944361746311188,0.0,finite,finite,699107.0,True,True,True,valid,True,adam_all_finite,True
open_loop_small,linear_no_bias,stage1_grid,2.0,2.0,1.8340080864093424,2.0,12,3e-05,zero,1069.5265592839778,4948.63405672799,3879.107421875,1.7411255612387322e-05,1.0985411405563354,0.9149905443191528,0.125,finite,finite,1446671.5,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,linear_no_bias,stage1_grid,2.0,2.0,1.8340080864093424,2.0,12,0.0001,zero,2050.1213433651783,19594.099013967665,17543.9765625,7.874560833442956e-05,2.5135862827301025,1.9355931282043457,1.0,finite,finite,4779824.5,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,linear_no_bias,stage1_grid,2.0,2.0,1.8340080864093424,2.0,12,0.0003,zero,7815.333498876759,127708.19980250746,119892.8671875,0.0005381354712881148,7.500877380371094,4.931869983673096,1.0,finite,finite,14015456.0,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,linear_no_bias,stage1_grid,2.0,2.0,1.8340080864093424,2.0,32,1e-05,zero,1175.2189643403945,4720.858068316605,3545.638916015625,1.5914492905722e-05,1.0561649799346924,0.8736807703971863,0.125,finite,finite,386152.90625,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,linear_no_bias,stage1_grid,2.0,2.0,1.8340080864093424,2.0,32,3e-05,zero,3237.8039242386285,21105.780723431104,17867.9765625,8.019986853469163e-05,2.6549227237701416,1.938396692276001,1.0,finite,finite,624500.75,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,linear_no_bias,stage1_grid,2.0,2.0,1.8340080864093424,2.0,32,0.0001,zero,76429.98138426208,546441.2936368883,470011.3125,0.0021096314303576946,14.643513679504395,9.728809356689453,1.0,finite,finite,21879334.0,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,linear_no_bias,stage1_grid,2.0,2.0,1.8340080864093424,2.0,32,0.0003,zero,1663222.562646634,11385939.46772376,9722717.0,0.04364011809229851,56.86729431152344,45.30768966674805,1.0,finite,finite,66282484.0,True,False,False,cap_bound,True,adam_all_finite,False
open_loop_small,linear_no_bias,stage1_grid,2.0,2.0,1.8340080864093424,2.0,64,1e-05,zero,2398.480834854271,14801.151007582663,12402.669921875,5.566900654230267e-05,2.0909810066223145,1.6173776388168335,1.0,finite,finite,420538.6875,True,False,False,cap_bound,True,adam_all_finite,False
