run_id,mechanism,optimizer,phase,point_index,lambda_multiplier,lambda,objective_gain_over_zero,task_loss_gain_over_zero,energy_penalty,energy_mean,max_norm_over_cap,mean_norm_over_cap,cap_bound_fraction,finite_status,gradient_status,gradient_norm,useful,interior,valid,failure_mode,optimizer_success,optimizer_status,optimizer_iterations,optimizer_evaluations
open_loop_small,direct_epsilon,pgd_projected_epsilon,bracket,0,2.0,222793093.37599996,2607.356478525803,7210.6114789914345,4603.255000465631,2.066156957880594e-05,1.000000238418579,0.9999998975555421,1.0,finite,finite,,True,False,False,cap_bound,True,direct_epsilon_inner_maximizer,8,0
open_loop_small,direct_epsilon,pgd_projected_epsilon,bracket,1,4.0,445586186.7519999,231.31432873019003,806.7202919572728,575.4068750582039,1.2913480986753711e-06,0.2500000298023224,0.25,0.0,finite,finite,,True,True,True,valid,True,direct_epsilon_inner_maximizer,8,0
open_loop_small,direct_epsilon,pgd_projected_epsilon,bisection,2,2.8284271247461903,315077014.2553945,700.4077704677684,3745.2271079482816,3044.8227762110146,9.663741366239265e-06,0.7457857728004456,0.6797616465774792,0.0,finite,finite,,True,True,True,valid,True,direct_epsilon_inner_maximizer,8,0
open_loop_small,direct_epsilon,pgd_projected_epsilon,bisection,3,2.378414230005442,264947131.81620476,1733.7306421676903,7207.951831213145,5474.2235987255835,2.066156957880594e-05,1.0000001192092896,1.0,1.0,finite,finite,,True,False,False,cap_bound,True,direct_epsilon_inner_maximizer,8,0
open_loop_small,direct_epsilon,pgd_projected_epsilon,bisection,4,2.5936791093020193,288926895.9930526,1187.4612972083387,6764.281616605437,5576.821896061983,1.930184407683555e-05,1.0000001192092896,0.9641582697213009,0.75,finite,finite,,True,False,False,cap_bound,True,direct_epsilon_inner_maximizer,8,0
open_loop_small,linear_no_bias,line_search_known_direction,probe,0,0.5,55698273.34399999,30087.692068672914,46076.36101398541,15988.6689453125,0.0002870586176868528,4.682300090789795,3.6984446048736572,1.0,finite,finite,8244.0947265625,True,False,False,cap_bound,True,best_grid_amplitude,8,8
open_loop_small,linear_no_bias,line_search_known_direction,probe,1,1.0,111396546.68799998,14099.023123360414,46076.36101398541,31977.337890625,0.0002870586176868528,4.682300090789795,3.6984446048736572,1.0,finite,finite,1588.029052734375,True,False,False,cap_bound,True,best_grid_amplitude,8,8
open_loop_small,linear_no_bias,line_search_known_direction,probe,2,2.0,222793093.37599996,1329.4073847999507,9104.22965042495,7774.822265625,3.489705341053195e-05,1.5670216083526611,1.2926160097122192,1.0,finite,finite,545.1085205078125,True,False,False,cap_bound,True,best_grid_amplitude,8,8
open_loop_small,linear_no_bias,line_search_known_direction,probe,3,4.0,445586186.7519999,216.50077600611075,805.8097359670483,589.3089599609375,1.3225476322986651e-06,0.2889856994152069,0.2522652745246887,0.0,finite,finite,80.84435272216797,True,True,True,valid,True,best_grid_amplitude,8,8
open_loop_small,linear_no_bias,line_search_known_direction,probe,4,8.0,891172373.5039998,37.4630600059827,316.0173812950452,278.5543212890625,3.1257064847522997e-07,0.13895463943481445,0.12268409132957458,0.0,finite,finite,344.8022766113281,True,True,True,valid,True,best_grid_amplitude,8,8
