run_id,mechanism,optimizer,beta,beta_role,lambda,lambda_star_summary,lambda_star_summary_value,finite_status,gradient_status,optimizer_success,optimizer_status,optimizer_iterations,optimizer_evaluations,selected_nonzero,classification,objective_level_success,penalized_gain_over_zero,task_loss_gain,energy_mean,energy_max,energy_penalty,penalty_minus_task_gain,penalty_over_task_gain_abs,selected_policy_norm_mean,selected_policy_norm_max,old_cap_ratio_mean_sidecar,old_cap_ratio_max_sidecar,old_cap_boundary_fraction_sidecar,old_cap_used_as_criterion,gradient_norm
open_loop_small,linear_no_bias,line_search_known_direction,0.95,diagnostic_only,230964605.99161327,lambda_star_p90,255916460.9325355,finite,finite,True,best_grid_amplitude,7,7,True,nonzero_positive_penalized_and_task_gain,True,1352.5920273739066,6420.451890655157,2.1942149032838643e-05,2.2274865841609426e-05,5067.8598059788355,-1352.592084676321,0.7893307032414661,0.004684110172092915,0.0047196256928145885,1.030493974685669,1.0383073091506958,1.0,False,199.90750122070312
open_loop_small,linear_no_bias,line_search_known_direction,1.05,candidate_training_scale,282147898.1781204,lambda_star_p90,255916460.9325355,finite,finite,True,best_grid_amplitude,7,7,True,nonzero_positive_penalized_and_task_gain,True,490.66738301883925,1978.2424562610267,5.272323505778331e-06,5.317225259204861e-06,1487.5749956704553,-490.6674605905714,0.7519679860081678,0.0022961331997066736,0.002305910922586918,0.5051442384719849,0.5072953104972839,0.0,False,85.52821350097656
open_loop_small,linear_no_bias,line_search_known_direction,1.2,candidate_training_scale,368519703.7428511,lambda_star_p90,255916460.9325355,finite,finite,True,best_grid_amplitude,7,7,True,nonzero_positive_penalized_and_task_gain,True,208.59373203717587,687.8748904844415,1.3005577557123615e-06,1.3067706277070101e-06,479.2811588355868,-208.5937316488547,0.6967562931364585,0.001140416832640767,0.0011431407183408737,0.2508891820907593,0.25148844718933105,0.0,False,22.771947860717773
open_loop_small,linear_no_bias,line_search_known_direction,1.4,candidate_training_scale,501596263.42776954,lambda_star_p90,255916460.9325355,finite,finite,True,best_grid_amplitude,7,7,True,nonzero_positive_penalized_and_task_gain,True,107.29628138713997,269.61253504924935,3.2359940860260394e-07,3.244611548325338e-07,162.31625420250217,-107.29628084674718,0.6020352658041375,0.0005688574747182429,0.0005696149310097098,0.12514738738536835,0.12531402707099915,0.0,False,36.58973693847656
open_loop_small,linear_no_bias,line_search_known_direction,1.8,candidate_training_scale,829169333.4214151,lambda_star_p90,255916460.9325355,finite,finite,True,best_grid_amplitude,7,7,True,nonzero_positive_penalized_and_task_gain,True,49.40090816718293,116.3566119025345,8.075033974819235e-08,8.08738249702401e-08,66.95570538256145,-49.40090651997305,0.5754353301267189,0.0002841659588739276,0.00028438324807211757,0.06251588463783264,0.0625636875629425,0.0,False,2.9503891468048096
open_loop_small,linear_no_bias,adam,0.95,diagnostic_only,230964605.99161327,lambda_star_p90,255916460.9325355,finite,finite,True,adam_all_finite,8,8,True,nonzero_positive_penalized_and_task_gain,True,683.1936044617905,3767.3188486024155,1.3353237591218203e-05,1.574363705003634e-05,3084.125258968111,-683.1935896343043,0.8186525704115136,0.0036394214257597923,0.003967825323343277,0.8006646633148193,0.8729128241539001,0.0,False,1308087.875
open_loop_small,linear_no_bias,adam,1.05,candidate_training_scale,282147898.1781204,lambda_star_p90,255916460.9325355,finite,finite,True,adam_all_finite,8,8,True,nonzero_positive_penalized_and_task_gain,True,255.0118278467562,1658.2569450342562,4.9734380809240974e-06,5.575028353632661e-06,1403.2451012517586,-255.01184378249764,0.8462169300444392,0.0022260230034589767,0.002361149759963155,0.4897201657295227,0.5194477438926697,0.0,False,1484379.0
open_loop_small,linear_no_bias,adam,1.2,candidate_training_scale,368519703.7428511,lambda_star_p90,255916460.9325355,finite,finite,True,adam_all_finite,8,8,True,nonzero_positive_penalized_and_task_gain,True,48.18872499070494,702.0044598539862,1.7741675719662453e-06,1.9578039882617304e-06,653.8157080111741,-48.18875184281205,0.93135549045823,0.0013301890576258302,0.0013992155436426401,0.2926386594772339,0.30782434344291687,0.0,False,1740470.5
open_loop_small,linear_no_bias,adam,1.4,candidate_training_scale,501596263.42776954,lambda_star_p90,255916460.9325355,finite,finite,True,adam_all_finite,8,8,False,zero_selected_no_positive_penalized_gain,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1968124.875
open_loop_small,linear_no_bias,adam,1.8,candidate_training_scale,829169333.4214151,lambda_star_p90,255916460.9325355,finite,finite,True,adam_all_finite,8,8,False,zero_selected_no_positive_penalized_gain,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2353071.0
open_loop_small,affine,line_search_known_direction,0.95,diagnostic_only,230964605.99161327,lambda_star_p90,255916460.9325355,finite,finite,True,best_grid_amplitude,7,7,True,nonzero_positive_penalized_and_task_gain,True,1405.5293653151748,5904.502509846425,1.9479059119476005e-05,1.9479059119476005e-05,4498.973214617117,-1405.5292952293075,0.7619563556988199,0.00441350881010294,0.00441350881010294,0.9709622263908386,0.9709622263908386,0.0,False,335.91925048828125
open_loop_small,affine,line_search_known_direction,1.05,candidate_training_scale,282147898.1781204,lambda_star_p90,255916460.9325355,finite,finite,True,best_grid_amplitude,7,7,True,nonzero_positive_penalized_and_task_gain,True,470.4222673722825,1844.4161638566575,4.869764779869001e-06,4.869764779869001e-06,1373.9938972618759,-470.4222665947816,0.7449478724957967,0.00220675440505147,0.00220675440505147,0.4854811131954193,0.4854811131954193,0.0,False,101.40582275390625
open_loop_small,affine,line_search_known_direction,1.2,candidate_training_scale,368519703.7428511,lambda_star_p90,255916460.9325355,finite,finite,True,best_grid_amplitude,7,7,True,nonzero_positive_penalized_and_task_gain,True,197.14239363344223,645.7934861627391,1.2174411949672503e-06,1.2174411949672503e-06,448.6510684936737,-197.14241766906542,0.6947283893486256,0.001103377202525735,0.001103377202525735,0.24274055659770966,0.24274055659770966,0.0,False,24.719520568847656
open_loop_small,affine,line_search_known_direction,1.4,candidate_training_scale,501596263.42776954,lambda_star_p90,255916460.9325355,finite,finite,True,best_grid_amplitude,7,7,True,nonzero_positive_penalized_and_task_gain,True,101.19947546248841,253.86546056991028,3.043602987418126e-07,3.043602987418126e-07,152.66598858465287,-101.19947198525742,0.6013657322344219,0.0005516886012628675,0.0005516886012628675,0.12137027829885483,0.12137027829885483,0.0,False,35.08598327636719
open_loop_small,affine,line_search_known_direction,1.8,candidate_training_scale,829169333.4214151,lambda_star_p90,255916460.9325355,finite,finite,True,best_grid_amplitude,7,7,True,nonzero_positive_penalized_and_task_gain,True,46.59411670003101,109.68567324910327,7.609007468545315e-08,7.609007468545315e-08,63.09155650692288,-46.5941167421804,0.5752032570711205,0.0002758443006314337,0.0002758443006314337,0.060685139149427414,0.060685139149427414,0.0,False,2.9878416061401367
open_loop_small,affine,adam,0.95,diagnostic_only,230964605.99161327,lambda_star_p90,255916460.9325355,finite,finite,True,adam_all_finite,8,8,True,nonzero_positive_penalized_and_task_gain,True,2183.679484532284,11961.778117344784,4.233591607771814e-05,4.8346850235247985e-05,9778.098176184176,-2183.679941160608,0.8174452059101285,0.006490105763077736,0.006953190080821514,1.4278088808059692,1.529686450958252,1.0,False,1823996.25
open_loop_small,affine,adam,1.05,candidate_training_scale,282147898.1781204,lambda_star_p90,255916460.9325355,finite,finite,True,adam_all_finite,8,8,True,nonzero_positive_penalized_and_task_gain,True,577.4026913708731,4900.156109339623,1.532087662781123e-05,1.6643582057440653e-05,4322.753138783228,-577.4029705563953,0.8821664131361296,0.003910534083843231,0.004079654812812805,0.860308825969696,0.897515058517456,0.0,False,1962657.5
open_loop_small,affine,adam,1.2,candidate_training_scale,368519703.7428511,lambda_star_p90,255916460.9325355,finite,finite,True,adam_all_finite,8,8,False,zero_selected_no_positive_penalized_gain,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2342028.0
open_loop_small,affine,adam,1.4,candidate_training_scale,501596263.42776954,lambda_star_p90,255916460.9325355,finite,finite,True,adam_all_finite,8,8,False,zero_selected_no_positive_penalized_gain,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,2663369.25
open_loop_small,affine,adam,1.8,candidate_training_scale,829169333.4214151,lambda_star_p90,255916460.9325355,finite,finite,True,adam_all_finite,8,8,False,zero_selected_no_positive_penalized_gain,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,3051881.0
open_loop_moderate,linear_no_bias,line_search_known_direction,0.95,diagnostic_only,208394125.88048783,lambda_star_p90,230907618.70414165,finite,finite,True,best_grid_amplitude,7,7,True,nonzero_positive_penalized_and_task_gain,True,1078.7972470762625,2617.7486630918875,7.3848118518071715e-06,7.697954060859047e-06,1538.9514106492222,-1078.7972524426652,0.5878912029818512,0.002716889837756753,0.002774518681690097,0.5977097749710083,0.6103879809379578,0.0,False,339.06866455078125
open_loop_moderate,linear_no_bias,line_search_known_direction,1.05,candidate_training_scale,254575649.62131616,lambda_star_p90,230907618.70414165,finite,finite,True,best_grid_amplitude,7,7,True,nonzero_positive_penalized_and_task_gain,True,737.755376959075,2617.7486630918875,7.3848118518071715e-06,7.697954060859047e-06,1879.9932745050055,-737.755388586882,0.7181718019805993,0.002716889837756753,0.002774518681690097,0.5977097749710083,0.6103879809379578,0.0,False,82.22093200683594
open_loop_moderate,linear_no_bias,line_search_known_direction,1.2,candidate_training_scale,332506970.93396395,lambda_star_p90,230907618.70414165,finite,finite,True,best_grid_amplitude,7,7,True,nonzero_positive_penalized_and_task_gain,True,396.31691280153245,889.0012389734075,1.4817262581345858e-06,1.5123653156479122e-06,492.6843098456479,-396.3169291277596,0.5541998011325443,0.0012171966955065727,0.0012297825887799263,0.267780601978302,0.270549476146698,0.0,False,181.61465454101562
open_loop_moderate,linear_no_bias,line_search_known_direction,1.4,candidate_training_scale,452578932.66011757,lambda_star_p90,230907618.70414165,finite,finite,True,best_grid_amplitude,7,7,True,nonzero_positive_penalized_and_task_gain,True,218.4031554773137,889.0012389734075,1.4817262581345858e-06,1.5123653156479122e-06,670.5980884010207,-218.40315057238672,0.7543275070970742,0.0012171966955065727,0.0012297825887799263,0.267780601978302,0.270549476146698,0.0,False,209.33639526367188
open_loop_moderate,linear_no_bias,line_search_known_direction,1.8,candidate_training_scale,748140684.601419,lambda_star_p90,230907618.70414165,finite,finite,True,best_grid_amplitude,7,7,True,nonzero_positive_penalized_and_task_gain,True,102.74379673808562,356.0373910984372,3.38564120738738e-07,3.41941017723002e-07,253.29359307095692,-102.74379802748027,0.7114241352277697,0.0005818554200232029,0.000584757246542722,0.12800690531730652,0.12864530086517334,0.0,False,175.2491455078125
