beta,gamma,J_clean,J_adv,D,D_x,D_u,D_T,clean_x,clean_u,clean_T,adv_x,adv_u,adv_T,E_w,D_over_E_w,max_x_clean,max_x_adv,max_u_clean,max_u_adv,max_w_adv,max_xhat_clean,max_xhat_adv,recursion_D,rollout_recursion_D_abs_diff,rollout_recursion_J_clean_abs_diff,rollout_recursion_J_adv_abs_diff,riccati_spectral_radius_max,riccati_spectral_radius_margin_min,riccati_bracket_cond_max,riccati_max_P_cond,estimator_precision_min_eig_min,estimator_precision_cond_max,estimator_covariance_min_eig_min,estimator_covariance_cond_max,gain_op_max,policy_op_max,clean_joint_step_spectral_radius_max,adv_joint_step_spectral_radius_max,clean_joint_cumulative_op_norm_max,adv_joint_cumulative_op_norm_max,finite_all
1.3,11916.88067111597,4465.007839692514,7970.270953605008,3505.263113912494,3064.2534017532316,10.074366077371678,430.9353460818911,2554.6953129990316,1910.1310153644217,0.1815113290602645,5618.948714752263,1920.2053814417934,431.11685741095135,2.5266901395171773e-05,138729441.2991342,18.39155887855687,18.392860615448406,20.872469841438566,20.872469841438566,0.0010525128284936663,18.39155939099283,18.39283625426601,3505.2631139849955,7.250127964653075e-08,2.9103830456733704e-10,7.279231795109808e-08,0.08227125070176325,0.9177287492982368,31850.176373086513,1043820782043.0156,0.06267568977269895,1283.784670402427,0.009899084021166024,1271.2477012112772,950.5421554802958,7.948127819514137,1.0,7.2572239811158745,312.86736711009894,318.33634784568557,True
1.325,12146.051453252816,4458.423931227636,29284.151634188314,24825.727702960678,21714.296103981636,84.04638488589103,3027.385214093155,2557.8847573828034,1900.3062553186062,0.23291852622624606,24272.18086136444,1984.3526402044972,3027.618132619381,0.00017117286044363567,145033083.15710112,18.349515324410664,18.350484066177994,20.82202722980443,20.82202722980443,0.0027061197953785346,18.349515816531863,18.350464228302666,24825.727664149716,3.881096199620515e-05,8.094502845779061e-11,3.8811045669717714e-05,0.07613178139254527,0.9238682186074547,29134.32603989505,1039850682328.3411,0.06274660888338358,1283.7846701407157,0.009899084021165386,1271.247701152058,908.9655689488554,50.72318966398131,1.0,39.65922936108722,311.34138143718167,314.6651830125579,True
1.33,12191.885609680186,4457.168058913618,55996.55119976761,51539.38314085399,45153.92693038191,145.25765266158442,6240.1985578105,2558.502465550957,1898.421647562237,0.24394580042357697,47712.429395932864,2043.6793002238214,6240.442503610923,0.0003512129482740121,146746819.5410711,18.341418968189878,18.342187859186943,20.812316714742117,20.812316714742117,0.00386196760641922,18.34141945639621,18.342170674012692,51539.3831419379,1.0839066817425191e-06,8.549250196665525e-11,1.0838266462087631e-06,0.07500107533537283,0.9249989246646272,28650.586209353904,1039087811960.0706,0.06276025728503547,1283.7846700901953,0.009899084021165946,1271.2477011406145,901.3572850825256,3.9975724830242623,1.0,4.049175861444182,311.0482670344218,313.04238146066524,True
1.331,12201.05244096566,4456.919235597612,66214.87930014802,61757.96006455041,54126.59093210841,165.8670544640131,7465.502077977983,2558.6252441674433,1898.0478111520997,0.2461802780686561,56685.216176275855,2063.914865616113,7465.748258256052,0.0004198235788838829,147104553.36676496,18.33981175402987,18.340520275911818,20.810389197269796,20.810389197269796,0.004219214476927135,18.339812241458947,18.34050388624635,61757.960064818224,2.6781344786286354e-07,2.7284841053187847e-11,2.678425516933203e-07,0.07477850759222957,0.9252214924077704,28555.96312567003,1038936437338.7742,0.062762966262932,1283.7846700801206,0.00989908402116605,1271.2477011383407,899.8614722322001,3.506780214653539,1.0,2.5258129345200815,310.990109295422,312.5806401111593,True
1.332,12210.219272251134,4456.671189757113,79698.9033079851,75242.232118228,65970.01766516114,191.66104888937798,9080.553404177472,2558.747771548595,1897.6749938430835,0.24842436543457566,68528.76543670974,2089.3360427324615,9080.801828542906,0.0005102307631593836,147467063.04481325,18.338208527137247,18.338845120402407,20.808466502806187,20.808466502806187,0.00464783899300506,18.33820901379097,18.338829675508737,75242.23179116762,0.00032706037745811045,1.6370904631912708e-11,0.0003270603920100257,0.07455710933614025,0.9254428906638598,28462.031344329458,1038785459163.1858,0.06276566839212863,1283.7846700700989,0.009899084021166776,1271.2477011360716,898.3741067952875,59.23616713651326,1.0,48.2174977032309,310.93210528719686,312.04111931335444,True
1.333,12219.386103536606,4456.423918736151,97989.03740344323,93532.61348470708,82039.0742326213,224.76610451335955,11268.773147572434,2558.8700490020874,1897.303191699541,0.2506780345227319,84597.94428162338,2122.0692962129006,11269.023825606957,0.0006326856550302026,147834256.61870286,18.336609274017977,18.3371585280089,20.806548614852403,20.806548614852403,0.005171615355093526,18.336609759898224,18.33714422608387,93532.61348609209,1.3850076356902719e-06,8.458300726488233e-11,1.385094947181642e-06,0.0743368714732069,0.9256631285267931,28368.783774857573,1038634876001.7059,0.06276836369478574,1283.7846700600996,0.009899084021166123,1271.2477011338083,896.8951186839572,3.203808635831847,1.0,3.4159271220148293,310.8742544508321,311.3979132041073,True
1.334,12228.55293482208,4456.17741988787,123649.62546455595,119193.44804466808,104589.51636704335,268.595504279303,14335.336173345422,2558.99207782449,1896.9324008062076,0.2529412571726519,107148.50844486784,2165.5279050855106,14335.589114602595,0.0008042414831573999,148206043.26044255,18.335013981236525,18.33545471100142,20.804635516981616,20.804635516981616,0.0058261945189753625,18.335014466345175,18.33544182316659,119193.44804174552,2.9225629987195134e-06,1.6370904631912708e-11,2.922548446804285e-06,0.07411778500369917,0.9258822149963009,28276.213419858173,1038484686429.434,0.06277105219297961,1283.7846700501548,0.009899084021165475,1271.24770113155,895.4244385813807,8.461205520427875,1.0,5.919871734400049,310.81655623002194,310.6122123329179,True
1.335,12237.719766107553,4455.931690574527,161207.02744683038,156751.09575625585,137603.52935088595,328.95064999529905,18818.615755374605,2559.1138593014407,1896.5626172680222,0.25521400506489683,140162.64321018738,2225.5132672633213,18818.87096937967,0.0010549780198522082,148582333.2871097,18.33342263541529,18.33372458687666,20.802727192839036,20.802727192839036,0.006667579155962709,18.333423119754215,18.33371349791785,156751.0957577664,1.5105470083653927e-06,1.0913936421275139e-11,1.510517904534936e-06,0.07389984102083604,0.926100158979164,28184.313373562447,1038334889028.0569,0.06277373390869581,1283.7846700401597,0.009899084021166113,1271.2477011292976,893.961997931158,3.789530219143251,1.0,3.887501462571097,310.7590100710479,309.6231274114766,True
1.336,12246.886597393028,4455.686728167449,219266.3910726283,214810.70434446086,188652.70683231336,416.43568703689516,25741.561825110588,2559.235394707708,1896.1938372100158,0.257496249724246,191211.94222702106,2312.629524246911,25741.81932136031,0.0014420403005699703,148963038.17553252,18.331835223234442,18.33195303727657,20.800823626141383,20.800823626141383,0.007789063742256802,18.331835706805524,18.331944319429155,214810.70427389702,7.056383765302598e-05,4.001776687800884e-11,7.056377944536507e-05,0.07368303070958906,0.926316969290411,28093.07682035547,1038185482385.8654,0.06277640886383953,1283.784670030227,0.009899084021166786,1271.2477011270491,892.507728926936,14.28485626157891,1.0,10.600460127067198,310.7016154227683,308.32938504633495,True
1.337,12256.053428678502,4455.442530046979,315860.34698246466,311404.9044524177,273605.87452715385,552.37928964448,37246.65063561938,2559.3566853073103,1895.826056777146,0.2597879625228029,276165.23121246113,2448.205346421626,37246.9104235819,0.0020850949279302053,149348070.57515484,18.33025173143152,18.330112884238044,20.79892480067626,20.79892480067626,0.009358474464976977,18.330252214236605,18.330107442375127,311404.9044510744,1.3432581909000874e-06,5.547917680814862e-11,1.3433163985610008e-06,0.07346734534550016,0.9265326546544999,28002.49703333983,1038036465097.6884,0.06277907708023538,1283.7846700203374,0.009899084021166531,1271.2477011248056,891.0615645021742,2.7562987825794774,1.0,2.7547478836087764,310.64437173660167,336.5877296125091,True
