run_id,mechanism,beta,beta_role,lambda,adam_steps,adam_learning_rate,finite_status,gradient_status,optimizer_success,optimizer_status,optimizer_iterations,optimizer_evaluations,selected_nonzero,classification,adam_objective_level_success,penalized_gain_over_zero,task_loss_gain,energy_mean,energy_max,energy_penalty,penalty_minus_task_gain,penalty_over_task_gain_abs,selected_policy_norm_mean,selected_policy_norm_max,old_cap_ratio_mean_sidecar,old_cap_ratio_max_sidecar,old_cap_boundary_fraction_sidecar,old_cap_used_as_criterion,reference_optimizer,reference_classification,reference_objective_level_success,reference_selected_nonzero,reference_penalized_gain_over_zero,reference_task_loss_gain,matches_reference_success,matches_reference_classification,matches_reference_selected_nonzero,agreement,gradient_norm
open_loop_small,direct_epsilon,0.95,diagnostic_only,230964605.99161327,8,1e-05,finite,finite,True,adam_all_finite,8,8,True,nonzero_positive_penalized_and_task_gain,True,216.74688416278696,342.83948975360727,5.459390877149417e-07,5.539902758755488e-07,126.09260628950231,-216.74688346410494,0.36778903848014377,0.0007388568483293056,0.000744305201806128,0.16254687309265137,0.16374550759792328,0.0,False,pgd_projected_epsilon,nonzero_positive_penalized_and_task_gain,True,True,1977.3814730475633,6749.4727499847795,True,True,True,agrees_with_reference_classification,260488.40625
open_loop_small,direct_epsilon,0.95,diagnostic_only,230964605.99161327,8,5e-05,finite,finite,True,adam_all_finite,8,8,True,nonzero_positive_penalized_and_task_gain,True,1247.7331097137649,4120.717484713765,1.2439068086678162e-05,1.2639462511288002e-05,2872.9844595424725,-1247.7330251712924,0.6972049091450968,0.0035267919301986694,0.0035552021581679583,0.7758864164352417,0.7821366190910339,0.0,False,pgd_projected_epsilon,nonzero_positive_penalized_and_task_gain,True,True,1977.3814730475633,6749.4727499847795,True,True,True,agrees_with_reference_classification,366784.53125
open_loop_small,direct_epsilon,0.95,diagnostic_only,230964605.99161327,8,0.0001,finite,finite,True,adam_all_finite,8,8,True,nonzero_positive_penalized_and_task_gain,True,2941.333220174445,13683.769743611945,4.651118069887161e-05,4.804514173883945e-05,10742.43652431961,-2941.3332192923353,0.7850494948100504,0.006818982772529125,0.006931460462510586,1.5001611709594727,1.524906039237976,1.0,False,pgd_projected_epsilon,nonzero_positive_penalized_and_task_gain,True,True,1977.3814730475633,6749.4727499847795,True,True,True,agrees_with_reference_classification,513458.09375
open_loop_small,direct_epsilon,0.95,diagnostic_only,230964605.99161327,32,1e-05,finite,finite,True,adam_all_finite,32,32,True,nonzero_positive_penalized_and_task_gain,True,1135.6331268628492,3578.833810456599,1.0578247383818962e-05,1.064744901668746e-05,2443.20073908556,-1135.633071371039,0.6826806911086628,0.0032524042762815952,0.0032630430068820715,0.7155218124389648,0.7178622484207153,0.0,False,pgd_projected_epsilon,nonzero_positive_penalized_and_task_gain,True,True,1977.3814730475633,6749.4727499847795,True,True,True,agrees_with_reference_classification,345056.4375
open_loop_small,direct_epsilon,0.95,diagnostic_only,230964605.99161327,32,5e-05,finite,finite,True,adam_all_finite,32,32,True,nonzero_positive_penalized_and_task_gain,True,11041.12581569028,73056.26253444028,0.0002685049257706851,0.0002697007148526609,62015.134387433645,-11041.128147006631,0.8488681495059837,0.016386080533266068,0.016422567889094353,3.6049013137817383,3.612928867340088,1.0,False,pgd_projected_epsilon,nonzero_positive_penalized_and_task_gain,True,True,1977.3814730475633,6749.4727499847795,True,True,True,agrees_with_reference_classification,947477.75
open_loop_small,direct_epsilon,0.95,diagnostic_only,230964605.99161327,32,0.0001,finite,finite,True,adam_all_finite,32,32,True,nonzero_positive_penalized_and_task_gain,True,39055.09650855973,290558.2683835597,0.0010889251716434956,0.0010924669913947582,251503.1732229898,-39055.09516056991,0.8655860135117059,0.03299882262945175,0.033052489161491394,7.259668350219727,7.271474838256836,1.0,False,pgd_projected_epsilon,nonzero_positive_penalized_and_task_gain,True,True,1977.3814730475633,6749.4727499847795,True,True,True,agrees_with_reference_classification,2050272.0
open_loop_small,direct_epsilon,0.95,diagnostic_only,230964605.99161327,128,1e-05,finite,finite,True,adam_all_finite,128,128,True,nonzero_positive_penalized_and_task_gain,True,10272.064173045092,66951.46651679509,0.00024540297454223037,0.00025652340264059603,56679.40132431614,-10272.065192478949,0.8465744556931826,0.015661317855119705,0.016016347333788872,3.445455551147461,3.5235612392425537,1.0,False,pgd_projected_epsilon,nonzero_positive_penalized_and_task_gain,True,True,1977.3814730475633,6749.4727499847795,True,True,True,agrees_with_reference_classification,887145.0625
open_loop_small,direct_epsilon,0.95,diagnostic_only,230964605.99161327,128,5e-05,finite,finite,True,adam_all_finite,128,128,True,nonzero_positive_penalized_and_task_gain,True,371458.64790645073,2197184.1479064506,0.007904784753918648,0.008429940789937973,1825725.4961373322,-371458.6517691184,0.8309387712800238,0.08885973691940308,0.09181471168994904,19.548946380615234,20.199033737182617,1.0,False,pgd_projected_epsilon,nonzero_positive_penalized_and_task_gain,True,True,1977.3814730475633,6749.4727499847795,True,True,True,agrees_with_reference_classification,7523473.0
open_loop_small,direct_epsilon,0.95,diagnostic_only,230964605.99161327,128,0.0001,finite,finite,True,adam_all_finite,128,128,True,nonzero_positive_penalized_and_task_gain,True,1152845.067403531,7443672.567403531,0.027237191796302795,0.029499739408493042,6290827.271551076,-1152845.2958524544,0.845124125837982,0.16489428281784058,0.1717548817396164,36.2763786315918,37.78569412231445,1.0,False,pgd_projected_epsilon,nonzero_positive_penalized_and_task_gain,True,True,1977.3814730475633,6749.4727499847795,True,True,True,agrees_with_reference_classification,9763328.0
open_loop_small,direct_epsilon,1.05,candidate_training_scale,282147898.1781204,8,1e-05,finite,finite,True,adam_all_finite,8,8,True,nonzero_positive_penalized_and_task_gain,True,188.66366806753285,332.90326157339223,5.112198095957865e-07,5.307866786097293e-07,144.23959478447006,-188.66366678892217,0.4332778059991186,0.0007148653385229409,0.0007285510655492544,0.15726879239082336,0.16027963161468506,0.0,False,pgd_projected_epsilon,nonzero_positive_penalized_and_task_gain,True,True,842.4670451914453,6672.084520465305,True,True,True,agrees_with_reference_classification,216374.859375
